ID,NAME,SMILES,inchikey
YMDB00027,Ureidosuccinic acid,[H]OC(=O)C([H])([H])[C@]([H])(N([H])C(=O)N([H])[H])C(=O)O[H],HLKXYZVTANABHZ-REOHCLBHSA-N
YMDB00028,N-Acetylornithine,[H]OC(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],JRLGPAXAGHMNOL-LURJTMIESA-N
YMDB00029,ADP-D-ribose 1''-phosphate,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,CUNFRFHBHMFVPH-KEOHHSTQSA-N
YMDB00030,Dihydrobiopterin,[H]OC([H])(C1=NC2=C(N=C(N([H])[H])N([H])C2=O)N([H])C1([H])[H])C([H])(O[H])C([H])([H])[H],FEMXZDUTFRTWPE-UHFFFAOYSA-N
YMDB00031,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)CC(=O)C(O)=O,PJWIPEXIFFQAQZ-PUFIMZNGSA-N
YMDB00032,Purine,[H]N1C([H])=NC2=C1C([H])=NC([H])=N2,KDCGOANMDULRCW-UHFFFAOYSA-N
YMDB00033,Glyoxylic acid,[H]OC(=O)C([H])=O,HHLFWLYXYJOTON-UHFFFAOYSA-N
YMDB00034,L-aspartic 4-semialdehyde,[H]C(=O)C[C@H](N)C(O)=O,HOSWPDPVFBCLSY-VKHMYHEASA-N
YMDB00035,L-methionine (R)-S-oxide,C[S@@](=O)CC[C@H](N)C(O)=O,QEFRNWWLZKMPFJ-ZXPFJRLXSA-N
YMDB00036,4-alpha-Methyl-5-alpha-cholest-7-en-3-beta-ol ,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@]3([H])C(=C([H])C([H])([H])[C@@]2([H])[C@]1([H])C([H])([H])[H])[C@]1([H])C([H])([H])C([H])([H])C([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]1(C([H])([H])[H])C([H])([H])C3([H])[H],LMYZQUNLYGJIHI-DOQVYVCQSA-N
YMDB00037,Pyridoxine,[H]OC1=C(C(=C([H])N=C1C([H])([H])[H])C([H])([H])O[H])C([H])([H])O[H],LXNHXLLTXMVWPM-UHFFFAOYSA-N
YMDB00038,L-Isoleucine,[H]OC(=O)[C@@]([H])(N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],AGPKZVBTJJNPAG-WHFBIAKZSA-N
YMDB00039,(S)-2-Aceto-2-hydroxybutanoic acid,[H]OC(=O)[C@@](O[H])(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H],VUQLHQFKACOHNZ-LURJTMIESA-N
YMDB00040,5-Methylthioribose 1-phosphate,[H]O[C@@]1([H])C([H])(OP(=O)(O[H])O[H])OC([H])(C([H])([H])SC([H])([H])[H])[C@@]1([H])O[H],JTFITTQBRJDSTL-WATOWXBHSA-N
YMDB00041,Heme,C=CC1=C(C)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C.[Fe],RJNYXPJELPLPLJ-UHFFFAOYSA-N
YMDB00042,"1,3-Diaminopropane",[H]N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],XFNJVJPLKCPIBV-UHFFFAOYSA-N
YMDB00043,N-Acetyl-glucosamine 1-phosphate,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@]1([H])O[H],FZLJPEPAYPUMMR-RTRLPJTCSA-N
YMDB00044,Glucosamine 6-phosphate,[H]O[C@@]1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])N([H])[H],XHMJOUIAFHJHBW-UKFBFLRUSA-N
YMDB00045,Coenzyme A,[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H],RGJOEKWQDUBAIZ-DRCCLKDXSA-N
YMDB00046,L-Cysteine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])S[H],XUJNEKJLAYXESH-REOHCLBHSA-N
YMDB00047,N-Acetyl-L-glutamyl 5-phosphate,[H]OC(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)OP(=O)(O[H])O[H],FCVIHFVSXHOPSW-YFKPBYRVSA-N
YMDB00048,3-Aminopropionaldehyde,[H]N([H])C([H])([H])C([H])([H])C([H])=O,PCXDJQZLDDHMGX-UHFFFAOYSA-N
YMDB00049,Uridine 5'-monophosphate,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]1([H])O[H])N1C([H])=C([H])C(=O)N([H])C1=O,DJJCXFVJDGTHFX-XVFCMESISA-N
YMDB00050,8-Oxo-dGMP ,[H]O[C@@]1([H])C([H])([H])C([H])(OC1([H])C([H])([H])OP(=O)(O[H])O[H])N1C(=O)N([H])C2=C1N([H])C(=NC2=O)N([H])[H],AQIVLFLYHYFRKU-KLFYCJEISA-N
YMDB00051,Cytidine,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=NC2=O)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],UHDGCWIWMRVCDJ-XVFCMESISA-N
YMDB00052,Argininosuccinic acid,[H]OC(=O)C([H])([H])[C@]([H])(N([H])C([H])=NN([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)O[H])C(=O)O[H],WSQWJAOQSDPYTD-BQBZGAKWSA-N
YMDB00053,(S)-3-Hydroxyisobutyryl-CoA,[H]OC([H])([H])C([H])(C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])C([H])(O[H])C1([H])OP(=O)(O[H])O[H])C([H])([H])[H],WWEOGFZEFHPUAM-UHFFFAOYSA-N
YMDB00054,N-(5-phospho-beta-D-ribosyl)anthranilic acid,O[C@H]1[C@@H](O)[C@H](NC2=CC=CC=C2C(O)=O)O[C@@H]1COP(O)(O)=O,PMFMJXPRNJUYMB-GWOFURMSSA-N
YMDB00055,Protoporphyrin IX,[H]OC(=O)C([H])([H])C([H])([H])C1=C(\C2=C([H])\C3=C(C(C([H])=C([H])[H])=C(N3[H])\C([H])=C3/N=C(/C(/[H])=C4\N([H])\C(=C([H])/C1=N2)C(=C4C([H])([H])[H])C([H])([H])C([H])([H])C(=O)O[H])C(C([H])=C([H])[H])=C3C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],KSFOVUSSGSKXFI-UJJXFSCMSA-N
YMDB00056,Acetic acid,[H]OC(=O)C([H])([H])[H],QTBSBXVTEAMEQO-UHFFFAOYSA-N
YMDB00057,Oxidized glutathione,[H]OC(=O)C([H])([H])N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H])C([H])([H])SSC([H])([H])C([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H])C(=O)N([H])C([H])([H])C(=O)O[H],YPZRWBKMTBYPTK-UHFFFAOYSA-N
