KEGG_id,color,width
C11481,#a8ddb5,W20
C00110,#a8ddb5,W20
C00031,#a8ddb5,W20
C00044,#a8ddb5,W20
C04236,#a8ddb5,W20
C05662,#a8ddb5,W20
C00119,#a8ddb5,W20
C14819,#a8ddb5,W20
C00288,#a8ddb5,W20
C00136,#a8ddb5,W20
C05270,#a8ddb5,W20
C00612,#a8ddb5,W20
C02291,#a8ddb5,W20
C00673,#a8ddb5,W20
C00559,#a8ddb5,W20
C16528,#a8ddb5,W20
C00251,#a8ddb5,W20
C00447,#a8ddb5,W20
C02630,#a8ddb5,W20
C01143,#a8ddb5,W20
C04144,#a8ddb5,W20
C00301,#a8ddb5,W20
C02979,#a8ddb5,W20
C00632,#a8ddb5,W20
C06056,#a8ddb5,W20
C02354,#a8ddb5,W20
C00250,#a8ddb5,W20
C00148,#a8ddb5,W20
C00153,#a8ddb5,W20
C12144,#a8ddb5,W20
C00184,#a8ddb5,W20
C00067,#a8ddb5,W20
C02567,#a8ddb5,W20
C02355,#a8ddb5,W20
C14710,#a8ddb5,W20
C00857,#a8ddb5,W20
C00246,#a8ddb5,W20
C13880,#a8ddb5,W20
C00294,#a8ddb5,W20
C19636,#a8ddb5,W20
C00188,#a8ddb5,W20
C01367,#a8ddb5,W20
C00441,#a8ddb5,W20
C00526,#a8ddb5,W20
C01944,#a8ddb5,W20
C02041,#a8ddb5,W20
C00144,#a8ddb5,W20
C00350,#a8ddb5,W20
C07329,#a8ddb5,W20
C05805,#a8ddb5,W20
C00062,#a8ddb5,W20
C00075,#a8ddb5,W20
C00074,#a8ddb5,W20
C01102,#a8ddb5,W20
C04525,#a8ddb5,W20
C01168,#a8ddb5,W20
C01159,#a8ddb5,W20
C00095,#a8ddb5,W20
C00570,#a8ddb5,W20
C00652,#a8ddb5,W20
C12147,#a8ddb5,W20
C04454,#a8ddb5,W20
C04874,#a8ddb5,W20
C06044,#a8ddb5,W20
C05274,#a8ddb5,W20
C00750,#a8ddb5,W20
C00170,#a8ddb5,W20
C00143,#a8ddb5,W20
C14818,#a8ddb5,W20
C01188,#a8ddb5,W20
C01120,#a8ddb5,W20
C00534,#a8ddb5,W20
C00881,#a8ddb5,W20
C00637,#a8ddb5,W20
C00307,#a8ddb5,W20
C00794,#a8ddb5,W20
C00404,#a8ddb5,W20
C00417,#a8ddb5,W20
C01672,#a8ddb5,W20
C05262,#a8ddb5,W20
C00100,#a8ddb5,W20
C15777,#a8ddb5,W20
C00157,#a8ddb5,W20
C01717,#a8ddb5,W20
C01724,#a8ddb5,W20
C02571,#a8ddb5,W20
C00059,#a8ddb5,W20
C04133,#a8ddb5,W20
C05925,#a8ddb5,W20
C00577,#a8ddb5,W20
C02737,#a8ddb5,W20
C13892,#a8ddb5,W20
C00283,#a8ddb5,W20
C03287,#a8ddb5,W20
C00029,#a8ddb5,W20
C01092,#a8ddb5,W20
C00556,#a8ddb5,W20
C04006,#a8ddb5,W20
C01194,#a8ddb5,W20
C04732,#a8ddb5,W20
C03227,#a8ddb5,W20
C03561,#a8ddb5,W20
C01134,#a8ddb5,W20
C00642,#a8ddb5,W20
C00295,#a8ddb5,W20
C00954,#a8ddb5,W20
C01236,#a8ddb5,W20
C08281,#a8ddb5,W20
C00440,#a8ddb5,W20
C02389,#a8ddb5,W20
C00448,#a8ddb5,W20
C01037,#a8ddb5,W20
C16565,#a8ddb5,W20
C00365,#a8ddb5,W20
C00234,#a8ddb5,W20
C06809,#a8ddb5,W20
C01419,#a8ddb5,W20
C00164,#a8ddb5,W20
C00941,#a8ddb5,W20
C00361,#a8ddb5,W20
C01137,#a8ddb5,W20
C06425,#a8ddb5,W20
C03738,#a8ddb5,W20
C00333,#a8ddb5,W20
C02223,#a8ddb5,W20
C01157,#a8ddb5,W20
C00127,#a8ddb5,W20
C00445,#a8ddb5,W20
C00130,#a8ddb5,W20
C00043,#a8ddb5,W20
C03232,#a8ddb5,W20
C00121,#a8ddb5,W20
C05422,#a8ddb5,W20
C03862,#a8ddb5,W20
C04489,#a8ddb5,W20
C06055,#a8ddb5,W20
C01251,#a8ddb5,W20
C03172,#a8ddb5,W20
C11526,#a8ddb5,W20
C00072,#a8ddb5,W20
C02504,#a8ddb5,W20
C00532,#a8ddb5,W20
C05259,#a8ddb5,W20
C01204,#a8ddb5,W20
C01062,#a8ddb5,W20
C02712,#a8ddb5,W20
C01077,#a8ddb5,W20
C05512,#a8ddb5,W20
C05260,#a8ddb5,W20
C04376,#a8ddb5,W20
C11355,#a8ddb5,W20
C06735,#a8ddb5,W20
C03736,#a8ddb5,W20
C03508,#a8ddb5,W20
C03479,#a8ddb5,W20
C01678,#a8ddb5,W20
C00810,#a8ddb5,W20
C05261,#a8ddb5,W20
C05273,#a8ddb5,W20
C04322,#a8ddb5,W20
C01595,#a8ddb5,W20
C00946,#a8ddb5,W20
C00330,#a8ddb5,W20
C01118,#a8ddb5,W20
C00966,#a8ddb5,W20
C00546,#a8ddb5,W20
C05258,#a8ddb5,W20
C00086,#a8ddb5,W20
C01181,#a8ddb5,W20
