C00111	#a8ddb5	W20
C00106	#a8ddb5	W20
C00279	#a8ddb5	W20
C01613	#a8ddb5	W20
C06193	#a8ddb5	W20
C00256	#a8ddb5	W20
C00346	#a8ddb5	W20
C00152	#a8ddb5	W20
C00354	#a8ddb5	W20
C01368	#a8ddb5	W20
C03150	#a8ddb5	W20
C00479	#a8ddb5	W20
C00588	#a8ddb5	W20
C00078	#a8ddb5	W20
C00051	#a8ddb5	W20
C00385	#a8ddb5	W20
C00345	#a8ddb5	W20
C06423	#a8ddb5	W20
C00673	#a8ddb5	W20
C00331	#a8ddb5	W20
C04036	#a8ddb5	W20
C04411	#a8ddb5	W20
C13890	#a8ddb5	W20
C00262	#a8ddb5	W20
C19636	#a8ddb5	W20
C06056	#a8ddb5	W20
C14819	#a8ddb5	W20
C00455	#a8ddb5	W20
C04144	#a8ddb5	W20
C00101	#a8ddb5	W20
C00067	#a8ddb5	W20
C05662	#a8ddb5	W20
C02979	#a8ddb5	W20
C02354	#a8ddb5	W20
C00447	#a8ddb5	W20
C00612	#a8ddb5	W20
C01107	#a8ddb5	W20
C00253	#a8ddb5	W20
C00318	#a8ddb5	W20
C00559	#a8ddb5	W20
C00255	#a8ddb5	W20
C02630	#a8ddb5	W20
C01143	#a8ddb5	W20
C07328	#a8ddb5	W20
C00632	#a8ddb5	W20
C05270	#a8ddb5	W20
C02567	#a8ddb5	W20
C04236	#a8ddb5	W20
C01225	#a8ddb5	W20
C00214	#a8ddb5	W20
C01367	#a8ddb5	W20
C00184	#a8ddb5	W20
C04102	#a8ddb5	W20
C01168	#a8ddb5	W20
C01159	#a8ddb5	W20
C02355	#a8ddb5	W20
C01185	#a8ddb5	W20
C00058	#a8ddb5	W20
C00251	#a8ddb5	W20
C02291	#a8ddb5	W20
C00441	#a8ddb5	W20
C01102	#a8ddb5	W20
C00250	#a8ddb5	W20
C01188	#a8ddb5	W20
C05805	#a8ddb5	W20
C00836	#a8ddb5	W20
C00155	#a8ddb5	W20
C12147	#a8ddb5	W20
C01672	#a8ddb5	W20
C04454	#a8ddb5	W20
C00246	#a8ddb5	W20
C00301	#a8ddb5	W20
C00136	#a8ddb5	W20
C00526	#a8ddb5	W20
C00881	#a8ddb5	W20
C01717	#a8ddb5	W20
C16565	#a8ddb5	W20
C05925	#a8ddb5	W20
C00794	#a8ddb5	W20
C00534	#a8ddb5	W20
C02389	#a8ddb5	W20
C00154	#a8ddb5	W20
C08320	#a8ddb5	W20
C05262	#a8ddb5	W20
C00652	#a8ddb5	W20
C04133	#a8ddb5	W20
C00412	#a8ddb5	W20
C00670	#a8ddb5	W20
C00294	#a8ddb5	W20
C03287	#a8ddb5	W20
C00333	#a8ddb5	W20
C03561	#a8ddb5	W20
C00941	#a8ddb5	W20
C06055	#a8ddb5	W20
C00153	#a8ddb5	W20
C06425	#a8ddb5	W20
C00295	#a8ddb5	W20
C00170	#a8ddb5	W20
C04489	#a8ddb5	W20
C01236	#a8ddb5	W20
C03738	#a8ddb5	W20
C01120	#a8ddb5	W20
C00148	#a8ddb5	W20
C00556	#a8ddb5	W20
C00440	#a8ddb5	W20
C00642	#a8ddb5	W20
C00857	#a8ddb5	W20
C08281	#a8ddb5	W20
C05422	#a8ddb5	W20
C04732	#a8ddb5	W20
C01157	#a8ddb5	W20
C00577	#a8ddb5	W20
C01037	#a8ddb5	W20
C01832	#a8ddb5	W20
C03227	#a8ddb5	W20
C03172	#a8ddb5	W20
C03232	#a8ddb5	W20
C01092	#a8ddb5	W20
C06809	#a8ddb5	W20
C04874	#a8ddb5	W20
C11355	#a8ddb5	W20
C05512	#a8ddb5	W20
C09332	#a8ddb5	W20
C04425	#a8ddb5	W20
C00409	#a8ddb5	W20
C00072	#a8ddb5	W20
C04376	#a8ddb5	W20
C00164	#a8ddb5	W20
C02670	#a8ddb5	W20
C11481	#a8ddb5	W20
C02712	#a8ddb5	W20
C01944	#a8ddb5	W20
C01062	#a8ddb5	W20
C01595	#a8ddb5	W20
C14710	#a8ddb5	W20
C02593	#a8ddb5	W20
C02470	#a8ddb5	W20
C07329	#a8ddb5	W20
C00135	#a8ddb5	W20
C00943	#a8ddb5	W20
C01181	#a8ddb5	W20
C00750	#a8ddb5	W20
C00510	#a8ddb5	W20
C06735	#a8ddb5	W20
C06044	#a8ddb5	W20
C00517	#a8ddb5	W20
C03508	#a8ddb5	W20
C00946	#a8ddb5	W20
C01251	#a8ddb5	W20
C01118	#a8ddb5	W20
C01137	#a8ddb5	W20
C00942	#a8ddb5	W20
C00121	#a8ddb5	W20
C01678	#a8ddb5	W20
C05274	#a8ddb5	W20
C00532	#a8ddb5	W20
C11511	#a8ddb5	W20
C12144	#a8ddb5	W20
C00288	#a8ddb5	W20
C06194	#a8ddb5	W20
C00337	#a8ddb5	W20
C02353	#a8ddb5	W20
C00417	#a8ddb5	W20
C00187	#a8ddb5	W20
C00330	#a8ddb5	W20
C00575	#a8ddb5	W20
C05271	#a8ddb5	W20
C03082	#a8ddb5	W20
C05278	#a8ddb5	W20
C00966	#a8ddb5	W20
C01134	#a8ddb5	W20
C15808	#a8ddb5	W20
C06032	#a8ddb5	W20
C05264	#a8ddb5	W20
C00386	#a8ddb5	W20
C00209	#a8ddb5	W20
C04322	#a8ddb5	W20
C00122	#a8ddb5	W20
C00074	#a8ddb5	W20
C00669	#a8ddb5	W20
C05198	#a8ddb5	W20
C05260	#a8ddb5	W20
C00024	#a8ddb5	W20
C00083	#a8ddb5	W20
C00424	#a8ddb5	W20
