C00065	#084081	W40
C00189	#084081	W40
C00019	#084081	W40
C00021	#084081	W40
C00073	#084081	W40
C00093	#084081	W40
C03172	#084081	W40
C00469	#084081	W40
C00022	#084081	W40
C00112	#084081	W40
C00074	#0868ac	W35
C00114	#0868ac	W35
C02532	#2b8cbe	W30
C00137	#4eb3d3	W25
C00116	#4eb3d3	W25
C00346	#4eb3d3	W25
C00124	#4eb3d3	W25
C05519	#7bccc4	W20
C00055	#7bccc4	W20
C12147	#7bccc4	W20
C02336	#7bccc4	W20
C01177	#7bccc4	W20
C00140	#a8ddb5	W15
C08281	#a8ddb5	W15
C00329	#a8ddb5	W15
C05345	#a8ddb5	W15
C08320	#a8ddb5	W15
C06425	#a8ddb5	W15
C00712	#a8ddb5	W15
C01530	#a8ddb5	W15
C01571	#a8ddb5	W15
C00588	#a8ddb5	W15
C04501	#a8ddb5	W15
C00016	#a8ddb5	W15
C01352	#a8ddb5	W15
C13833	#a8ddb5	W15
C00665	#a8ddb5	W15
C01100	#a8ddb5	W15
C00860	#a8ddb5	W15
C00570	#a8ddb5	W15
C06424	#a8ddb5	W15
C02679	#a8ddb5	W15
C08362	#a8ddb5	W15
C06156	#a8ddb5	W15
C00249	#a8ddb5	W15
C00197	#a8ddb5	W15
C01233	#a8ddb5	W15
C00049	#a8ddb5	W15
C00206	#a8ddb5	W15
C11526	#a8ddb5	W15
C00301	#a8ddb5	W15
C00258	#a8ddb5	W15
C00025	#a8ddb5	W10
C00036	#a8ddb5	W10
C00109	#a8ddb5	W10
C00631	#a8ddb5	W10
C00026	#a8ddb5	W10
C01127	#a8ddb5	W10
C01179	#a8ddb5	W10
C01159	#a8ddb5	W10
C01107	#a8ddb5	W10
C00360	#a8ddb5	W10
C00689	#a8ddb5	W10
C01083	#a8ddb5	W10
C00257	#a8ddb5	W10
C00166	#a8ddb5	W10
C00104	#a8ddb5	W10
C00363	#a8ddb5	W10
C00705	#a8ddb5	W10
C01346	#a8ddb5	W10
C00015	#a8ddb5	W10
C00361	#a8ddb5	W10
C00035	#a8ddb5	W10
C13889	#a8ddb5	W10
C00263	#a8ddb5	W10
C00216	#a8ddb5	W10
C00131	#a8ddb5	W10
C00233	#a8ddb5	W10
C00084	#a8ddb5	W10
C00068	#a8ddb5	W10
C00092	#a8ddb5	W10
C00322	#a8ddb5	W10
C00671	#a8ddb5	W10
C00117	#a8ddb5	W10
C00624	#a8ddb5	W10
C00352	#a8ddb5	W10
C00620	#a8ddb5	W10
C00299	#a8ddb5	W10
C00387	#a8ddb5	W10
C00357	#a8ddb5	W10
C05382	#a8ddb5	W10
C01801	#a8ddb5	W10
C00661	#a8ddb5	W10
C00111	#a8ddb5	W10
C00199	#a8ddb5	W10
C00310	#a8ddb5	W10
C00212	#a8ddb5	W10
C00354	#a8ddb5	W10
C00673	#a8ddb5	W10
