Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Pyruvate,12,rxn910,anthranilate + H+ + L-aspartate + pyruvate => chorismate + L-asparagine,YJL198W or YER090W or YPR006C or YPL207W or YER065C or YER010C or YMR289W or YKL211C
Pyruvate,13,rxn911,anthranilate + H+ + pyruvate + Gly-Glu => chorismate + Gly-Gln,YJL198W or YER090W or YPR006C or YPL207W or YER065C or YER010C or YMR289W or YKL211C
Pyruvate,14,rxn918,ammonium + NADH + pyruvate => H2O + L-alanine + NAD,YAL062W or YOR375C
Pyruvate,15,rxn921,anthranilate + H+ + H2O + pyruvate => ammonium + chorismate,YJL198W or YER090W or YPR006C or YPL207W or YER065C or YER010C or YMR289W or YKL211C
Pyruvate,16,rxn1073,"homoisocitrate + pyruvate => 2-oxoglutarate + (2R,3S)-3-methylmalate",YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
Pyruvate,17,rxn1074,pyruvate + (2)-methylglutaric acid => 2-oxoglutarate + isobutyrate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
Pyruvate,18,rxn1075,glyceraldehyde 3-phosphate + H+ + pyruvate => carbon dioxide + 1-deoxy-d-xylulose 5-phosphate,YMR108W or YGR043C or YLR354C or YBR117C or YCL009C or YPR074C
Pyruvate,19,rxn1354,(S)-malate + pyruvate => (R)-lactate + oxaloacetate,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
Pyruvate,20,rxn1638,H+ + L-aspartate + pyruvate => L-alanine + oxaloacetate,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,21,rxn1639,erythro-4-hydroxy-L-glutamic acid + H+ + pyruvate => 4-hydroxy-2-oxoglutarate + L-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,22,rxn2171,D-erythrose 4-phosphate + pyruvate => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,YEL046C or YJL170C or YDR294C or YKL060C
Pyruvate,23,rxn2356,ammonium + pyruvate => H2O + 2-iminopropanoate,YGL196W or YER086W or YCL064C or YKL218C or YER057C or YCR020C or YIL051C
Pyruvate,24,rxn2401,L-tryptophan + pyruvate => indole-3-pyruvate + L-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,25,rxn2442,L-valine + pyruvate => 3-methyl-2-oxobutanoate + L-alanine,YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
Pyruvate,26,rxn2529,"anthranilate + H+ + pyruvate => H2O + 4-(2-aminophenyl)-2,4-dioxobutanoate",YLR231C
Pyruvate,27,rxn2667,FMNH2 + 2 H+ + pyruvate => (R)-lactate + FMN,YGR255C or YDL178W or YCL005W-A or YIR028W or YEL071W
Pyruvate,28,rxn2875,2 H+ + NADH + pyruvate => H2O + methylglyoxal + NAD,YBR006W or YPL061W or YJR009C or YHR037W or YER073W or YDR158W or YMR169C or YGR192C or YPL098C or YMR110C or YMR170C or YOR374W or YOR323C or YJL052W
Pyruvate,29,rxn3212,"L-kynurenine + pyruvate => L-alanine + 4-(2-aminophenyl)-2,4-dioxobutanoate",YHR208W or YLR438W or YIL087C or YER152C or YDR111C or YJR148W or YNR033W or YIL116W or YGR243W or YHR137W or YMR084W or YNR058W or YMR085W or YKL104C or YER137C or YHR162W or YOL140W or YGL202W or YKL106W or YFL030W or YLR089C or YLR201C or YLR027C or YJL060W or YOR184W or YGR019W or YLR333C or YDR204W
