Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-serine,16,rxn1504,L-serine + acetamide => ammonium + n-acetyl-dl-serine,YNL167C or YDR177W or YOR161C or YPL007C or YDR073W or YBR082C or YFL009W or YMR269W or YJR090C or YGL058W or YMR153W or YPR125W or YLR078C or YOR269W or YOL054W or YGR159C or YOL013C or YBR280C or YJR097W or YDR059C or YKL084W or YHL010C or YDR485C or YEL012W or YOR358W or YJL095W or YLL036C or YDR313C or YLR394W or YML114C or YER068W or YFR018C or YOL027C or YBR290W or YER021W or YNL023C or YGL017W or YHL034C or YDR092W or YHR039C-A or YKR017C or YDR228C or YBR260C or YNL236W or YER125W or YBR062C or YML097C or YIL079C or YLR427W or YJR054W or YJR052W or YHR069C or YOR181W or YBR273C or YNL243W or YPR056W or YDR054C or YDR211W or YDR425W or YDL240W or YDR143C or YOR216C or YAL002W or YJR134C or YPL120W or YOL133W or YER143W or YEL019C or YDR388W or YDR460W or YMR026C or YOL044W or YDR323C or YLR007W or YDL013W or YPR030W or YML002W or YMR022W or YDR266C or YNL227C or YNL097C or YER016W or YGR009C or YKL057C or YMR276W or YJR055W or YMR147W or YKR007W or YGL164C or YEL022W or YCR033W or YKR078W or YDL074C or YOL051W or YGR184C or YIR018W or YNL260C or YIL062C or YER116C or YBR128C or YKL059C or YML068W or YBR275C or YOR156C or YCR066W or YOR339C or YDL195W or YLR299W or YNL159C or YPR093C or YCR084C
L-serine,17,rxn2074,H+ + L-serine + 1-acyl-sn-glycerol 3-phosphate (16:1) => H2O + 1-acylglycerophosphoserine (16:1),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,18,rxn2375,H+ + L-serine + 1-acyl-sn-glycerol 3-phosphate (18:0) => H2O + 1-acylglycerophosphoserine (18:0),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,19,rxn2376,H+ + L-serine + 1-acyl-sn-glycerol 3-phosphate (16:0) => H2O + 1-acylglycerophosphoserine (16:0),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,20,rxn2377,H+ + L-serine + 1-acyl-sn-glycerol 3-phosphate (18:1) => H2O + 1-acylglycerophosphoserine (18:1),YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,21,rxn2378,"H+ + L-serine + phosphatidate (1-18:1, 2-18:1) => H2O + phosphatidyl-L-serine (1-18:0, 2-18:1)",YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,22,rxn2379,"H+ + L-serine + phosphatidate (1-16:1, 2-18:1) => H2O + phosphatidyl-L-serine (1-16:1, 2-18:1)",YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,23,rxn2380,"H+ + L-serine + phosphatidate (1-16:1, 2-16:1) => H2O + phosphatidyl-L-serine (1-16:0, 2-16:1)",YLR097C or YJL198W or YHR058C or YER119C or YBR119W or YGR247W or YPR083W or YNR013C or YLR310C or YFL054C or YBR039W or YAL017W or YEL013W or YOR360C or YER019W or YHR151C or YEL016C or YKR031C or YJR001W or YOR336W or YPL206C or YOL041C or YHR026W or YKR019C or YCR037C or YMR319C or YAL024C or YGL248W or YDR006C or YOR270C or YNL101W or YPL268W or YNL321W or YOR227W or YMR218C or YBL089W or YML037C or YMR054W or YKL146W or YDL110C or YPL152W or YJL129C or YBR207W or YGR197C
L-serine,24,rxn2396,H+ + L-serine => carbon dioxide + ethanolamine,YNL169C or YGR087C or YNR043W or YLL028W or YNL052W or YDR380W or YDL080C or YLR044C or YKL088W or YKR072C or YEL021W or YOR128C or YKR097W or YOL052C or YKL184W or YDR539W or YER010C or YDR047W or YMR250W or YLR134W
L-serine,25,rxn2569,L-serine + selenohomocysteine => H2O + selenocystathionine,YGL009C or YMR323W or YGR254W or YGL040C or YOR391C or YDR234W or YNL335W or YJR024C or YPL262W or YKR009C or YHL018W or YDR533C or YGR155W or YJR016C or YHR140W or YPL280W or YJL097W or YJL200C or YOR202W or YNL036W or YPR002W or YDR222W or YPR170W-B or YGL026C or YKL058W or YPL281C or YOR145C or YPL078C or YJR044C or YLR304C or YHR067W or YHR174W or YNL316C or YCR061W or YOR278W or YFL061W or YMR322C or YKL151C or YOR393W
L-serine,26,rxn3073,H+ + iron(2+) + L-serine => H2O + L-cysteine,YGL009C or YMR323W or YGR254W or YGL040C or YOR391C or YDR234W or YNL335W or YJR024C or YPL262W or YKR009C or YHL018W or YDR533C or YGR155W or YJR016C or YHR140W or YPL280W or YJL097W or YJL200C or YOR202W or YNL036W or YPR002W or YDR222W or YPR170W-B or YGL026C or YKL058W or YPL281C or YOR145C or YPL078C or YJR044C or YLR304C or YHR067W or YHR174W or YNL316C or YCR061W or YOR278W or YFL061W or YMR322C or YKL151C or YOR393W or YML004C or YJL003W or YHR112C or YAL012W or YAL039C or YPL098C or YGL184C or YFR055W or YKL087C or YNR018W
L-serine,27,rxn3080,"L-serine + pe(18:1/18:1) => ethanolamine + phosphatidyl-L-serine (1-18:0, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,28,rxn3081,"L-serine + pe(18:0/18:1) => ethanolamine + phosphatidyl-L-serine (1-18:0, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,29,rxn3082,"L-serine + phosphatidylethanolamine (1-18:1, 2-16:1) => ethanolamine + phosphatidyl-L-serine (1-16:1, 2-18:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,30,rxn3083,"L-serine + phosphatidylethanolamine (1-16:1, 2-16:1) => ethanolamine + phosphatidyl-L-serine (1-16:0, 2-16:1)",YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,31,rxn3084,L-serine + pe(18:1/0:0) => ethanolamine + 1-acylglycerophosphoserine (18:1),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,32,rxn3085,L-serine + pe(18:0/0:0) => ethanolamine + 1-acylglycerophosphoserine (18:0),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
L-serine,33,rxn3086,L-serine + pe(16:0/0:0) => ethanolamine + 1-acylglycerophosphoserine (16:0),YNL130C or YBR243C or YHR123W or YDR414C or YKR051W or YBR147W or YCL004W or YER026C or YDL142C or YGR170W or YPL148C or YPR113W or YGL154C or YOL092W
