Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
L-histidine,1,rxn33,beta-alanine + H+ + L-histidine => H2O + carnosine,YNL021W or YFL060C or YIL060W or YNL334C or YLR351C or YPR068C or YGL037C or YLR308W or YMR281W or YBR248C or YLR155C or YBR183W or YJL213W or YPL096W or YPL087W or YMR154C or YPL116W or YIL163C or YDR428C or YPR138C or YGL194C or YNL330C or YLR158C or YLR307W or YJL126W or YDR321W or YLR157C or YDR242W or YLR160C or YMR095C
L-histidine,2,rxn1214,H+ + L-histidine + NADH => H2O + NAD + histidinal,YBR006W or YPL061W or YJR009C or YHR037W or YER073W or YDR158W or YMR169C or YGR192C or YPL098C or YMR110C or YMR170C or YOR374W or YOR323C or YJL052W
L-histidine,3,rxn2528,H+ + L-histidine => carbon dioxide + histamine,YNL169C or YGR087C or YNR043W or YLL028W or YNL052W or YDR380W or YDL080C or YLR044C or YKL088W or YKR072C or YEL021W or YOR128C or YKR097W or YOL052C or YKL184W or YDR539W or YER010C or YDR047W or YMR250W or YLR134W
L-histidine,4,rxn2530,ATP + beta-alanine + L-histidine => AMP + diphosphate + H+ + carnosine,YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W
L-histidine,5,rxn2832,beta-alanine + L-histidine => H2O + carnosine,YNL021W or YFL060C or YIL060W or YNL334C or YLR351C or YPR068C or YGL037C or YLR308W or YMR281W or YBR248C or YLR155C or YBR183W or YJL213W or YPL096W or YPL087W or YMR154C or YPL116W or YIL163C or YDR428C or YPR138C or YGL194C or YNL330C or YLR158C or YLR307W or YJL126W or YDR321W or YLR157C or YDR242W or YLR160C or YMR095C or YJL172W or YPL096C-A or YBR281C or YFR044C or YHR113W or YBR286W or YKL103C or YKL165C or YLL029W or YBL091C or YLR244C or YKL157W or YER078C or YHR047C or YHL013C or YER151C or YBR058C or YHR058C or YDR069C or YOR124C or YOR138C or YMR223W or YJR099W or YDR326C or YJL095W or YMR160W or YGR229C or YKR098C or YER098W or YJL197W or YER111C or YFR010W or YFR019W or YER059W or YIL156W or YER144C or YMR304W or YIL153W or YLR126C or YNL186W or YFL044C or YPL191C or YBL067C or YJL005W or YDL216C or YFR005C or YDR420W or YKL010C or YCL014W or YLR299W or YDL122W or YPL072W or YLR106C or YGR014W or YLR389C or YBL045C or YPR122W or YKL134C or YLR163C or YJR117W or YHR024C or YPR191W
L-histidine,6,rxn2976,ATP + beta-alanine + L-histidine => ADP + H+ + phosphate + carnosine,YOR241W or YAR015W or YJL101C or YOL049W or YIL145C or YIL083C or YKL132C or YMR113W or YNL119W or YBR218C or YBL039C or YOL058W or YGL062W or YDL141W or YNL220W or YJR103W or YOR209C or YGR204W or YGL234W or YBR084W or YPR035W or YJL046W or YIR019C or YLR143W
