NO,EC number,templateID,rxn_smiles_basic,rxn_smiles_final
rxn5813,2.1.1,MNXR186647,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c([O-])c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c([O-])c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O
rxn6333,5.1.3.-,MNXR151590,O=P([O-])([O-])OCC1OC(O)(CO)C(O)C(O)C1O>>O=P(O)(O)OCC1OC(O)(CO)C(O)C(O)C1O,O=P([O-])([O-])OCC1OC(O)(CO)C(O)C(O)C1O.[H+].[H+]>>O=P(O)(O)OCC1OC(O)(CO)C(O)C(O)C1O
rxn6611,2.1.1.283,MNXR113810,C[S@@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn6612,2.1.1.283,MNXR113810,C[S@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn6643,2.1.1.283,MNXR113810,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn6644,2.1.1.283,MNXR113810,C[S@@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn8223,2.1.1,MNXR120209,C[S@@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn8224,2.1.1,MNXR120209,C[S@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn8247,2.1.1,MNXR120209,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn8248,2.1.1,MNXR120209,C[S@@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
