NO,EC number,templateID,rxn_smiles_basic,rxn_smiles_final
rxn1076,,MNXR164692,C[S@@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn1077,,MNXR164692,C[S@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn1096,,MNXR164692,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn1097,,MNXR164692,C[S@@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O,C[S@@+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.[H+]
rxn2480,,MNXR112710_reverse,C=O.O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O>>COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.O=O,C=O.O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.O=O.[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
rxn2579,,MNXR164692_reverse,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O>>C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.[H+]>>C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O
rxn2582,,MNXR164692_reverse,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)[O-])C(O)C1O>>C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)[O-])C(O)C1O.[H+]>>C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O
rxn2585,,MNXR164692_reverse,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O>>C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.[H+]>>C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O
rxn3876,,MNXR144048_reverse,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O>>C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O.[H+]>>C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O
rxn3886,,MNXR144048_reverse,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)[O-])C(O)C1O>>C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O,COc1cc(C=CC(=O)OC(C(=O)O)C(O)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)[O-])C(O)C1O.[H+]>>C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=C(C=Cc1ccc(O)c(O)c1)OC(C(=O)O)C(O)C(=O)O
