Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Amorphadiene,1,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(C)C1CCC(C)C2CCC3(C)OC3C12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,2,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(C)C1C(O)CC(C)C2CCC(C)=CC21.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,3,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(C)C1CCC(C)C2C(O)CC(C)=CC12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,4,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(C)C1CC(O)C(C)C2CCC(C)=CC12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,5,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(C)C1CCC(C)C2CC(O)C(C)=CC12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,6,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(CO)C1CCC(C)C2CCC(C)=CC12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,7,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>C=C(C)C1CCC(C)C2CCC(CO)=CC12.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Amorphadiene,8,C=C(C)C1CCC(C)C2CCC(C)=CC12.O=O>>CC1=CC2C(CC1)C(C)CCC2[C@]1(C)CO1.O,H(+) + NADPH>>NADP(+),[]
Amorphadiene,9,C=C(C)C1CCC(C)C2CCC(C)=CC12.[H]O[H]>>CC1CCC2C3C[C@@](C)(CCC13)C[C@]2(C)O,>>,"['YGL009C', 'YMR323W', 'YGR254W', 'YGL040C', 'YOR391C', 'YDR234W', 'YNL335W', 'YJR024C', 'YPL262W', 'YKR009C', 'YHL018W', 'YDR533C', 'YGR155W', 'YJR016C', 'YHR140W', 'YPL280W', 'YJL097W', 'YJL200C', 'YOR202W', 'YNL036W', 'YPR002W', 'YDR222W', 'YPR170W-B', 'YGL026C', 'YKL058W', 'YPL281C', 'YOR145C', 'YPL078C', 'YJR044C', 'YLR304C', 'YHR067W', 'YHR174W', 'YNL316C', 'YCR061W', 'YOR278W', 'YFL061W', 'YMR322C', 'YKL151C', 'YOR393W']"
