Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Astaxanthin,1,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O>>CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=C/C=C(\C)C=O.CC1=C(C=O)C(C)(C)CC(O)C1=O,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Astaxanthin,2,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O>>CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=C/C=C(\C)C=O.CC1=C(C=C/C(C)=C\C=O)C(C)(C)CC(O)C1=O,>>,"['YMR009W', 'YJR078W', 'YJR025C']"
Astaxanthin,3,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O>>CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)[C@H](O)C1(C)C.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Astaxanthin,4,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O>>CC(=O)/C=C/C1=C(C)C(=O)C(O)CC1(C)C.CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)/C=C/C=O,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YGL191W', 'YIR012W', 'YJR070C', 'YOR125C']"
Astaxanthin,5,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O>>CC(=O)/C=C/C=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.CC(C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC(C)=C/C=C/C=O,>>,"['YMR009W', 'YJR078W', 'YJR025C', 'YGL191W', 'YIR012W', 'YJR070C', 'YOR125C']"
Astaxanthin,6,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O>>CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)/C=C/[C@@]12O[C@]1(C)C(=O)C(O)CC2(C)C.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Astaxanthin,7,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.[H]O[H]>>CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C.O=O,>>,[]
Astaxanthin,8,CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C>>CC(C=CC=C(C)C=CC1=C(C)C(=O)C(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)[C@H](O)C(O)CC1(C)C,NADH + H(+)>>NAD(+),"['YDR536W', 'YLR174W', 'YHR183W', 'YJL214W', 'YJR096W', 'YNL241C', 'YOR100C', 'YIL074C', 'YKL029C', 'YDL066W', 'YAL060W', 'YNL037C', 'YBR159W', 'YCL018W', 'YJR159W', 'YDR368W', 'YNL318C', 'YMR041C', 'YLR100W', 'YDR387C', 'YOR246C', 'YKR009C', 'YOL126C', 'YNL009W', 'YEL069C', 'YIR035C', 'YDL022W', 'YFL011W', 'YDL114W', 'YOL156W', 'YBR149W', 'YJR139C', 'YNL274C', 'YGL001C', 'YMR011W', 'YER081W', 'YMR318C', 'YLR081W', 'YGL256W', 'YAL061W', 'YOR120W', 'YDL168W', 'YOL151W', 'YDR345C', 'YML056C', 'YHR063C', 'YPL088W', 'YCR107W', 'YCR105W', 'YDL144C', 'YDR342C', 'YNR073C', 'YLR426W', 'YNL331C', 'YBR145W', 'YHR092C', 'YLR432W', 'YMR303C', 'YGR256W', 'YNR072W', 'YDR343C', 'YIL094C', 'YDL078C', 'YLR070C', 'YBR265W', 'YEL070W', 'YJL219W', 'YJR155W', 'YJR158W', 'YIR036C', 'YMR083W', 'YFL058W', 'YOR136W', 'YBR153W', 'YLR450W', 'YDL246C', 'YLR355C', 'YOL165C', 'YML075C', 'YDL243C', 'YMR226C', 'YIL124W', 'YGL077C', 'YOL059W', 'YHR216W', 'YPR127W', 'YHR094C', 'YKL071W', 'YGR215W', 'YOL086C', 'YDL245C', 'YKL085W', 'YHR104W']"
