Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Limonene,1,C=C(C)C1CC=C(C)CC1.O=O>>C=C(C)C1CCC2(C)OC2C1.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Limonene,2,C=C(C)C1CC=C(C)CC1.O=O>>C=C(C)C1CCC(C)=CC1O.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Limonene,3,C=C(C)C1CC=C(C)CC1.O=O>>C=C(C)C1CC=C(C)CC1O.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Limonene,4,C=C(C)C1CC=C(C)CC1.O=O>>C=C(C)C1CC=C(C)C(O)C1.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Limonene,5,C=C(C)C1CC=C(C)CC1.O=O>>C=C(CO)C1CC=C(C)CC1.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Limonene,6,C=C(C)C1CC=C(C)CC1.O=O>>C=C(C)C1CC=C(CO)CC1.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Limonene,7,C=C(C)C1CC=C(C)CC1.O=O.O=O>>C=C(C)C1[C@@H](O)C=C(C)C[C@@H]1O.O.O,2.0 H(+) + 2.0 NADPH>>2.0 NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YCL001W', 'YHR007C', 'YAL064W', 'YGR175C', 'YJL151C']"
Limonene,8,C=C(C)C1CC=C(C)CC1.[H]O[H]>>CC12CCC(CC1)[C@@](C)(O)C2,>>,"['YGL009C', 'YMR323W', 'YGR254W', 'YGL040C', 'YOR391C', 'YDR234W', 'YNL335W', 'YJR024C', 'YPL262W', 'YKR009C', 'YHL018W', 'YDR533C', 'YGR155W', 'YJR016C', 'YHR140W', 'YPL280W', 'YJL097W', 'YJL200C', 'YOR202W', 'YNL036W', 'YPR002W', 'YDR222W', 'YPR170W-B', 'YGL026C', 'YKL058W', 'YPL281C', 'YOR145C', 'YPL078C', 'YJR044C', 'YLR304C', 'YHR067W', 'YHR174W', 'YNL316C', 'YCR061W', 'YOR278W', 'YFL061W', 'YMR322C', 'YKL151C', 'YOR393W']"
Limonene,9,C=C(C)C1CC=C(C)CC1.[H]O[H]>>C=C(C)C1CCC(C)=C[C@@H]1O,FAD + H(+)>>FADH2,[]
