Product name,Predicted reaction ID,Predicted reaction,IgnoreMet,Predicted genes of reaction
Santalene,1,CC(C)=CCCC1(C)C2CC3C(C2)C31C.O=O>>CC1(C)O[C@@H]1CCC1(C)C2CC3C(C2)C31C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Santalene,2,CC(C)=CCCC1(C)C2CC3C(C2)C31C.O=O>>CC(=CCCC1(C)C2CC3C(C2)C31C)CO.O,NADH + H(+)>>NAD(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Santalene,3,CC(C)=CCCC1(C)C2CC3C(C2)C31C.O=O>>CC(C)=C[C@H](O)CC1(C)C2CC3C(C2)C31C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Santalene,4,CC(C)=CCCC1(C)C2CC3C(C2)C31C.O=O>>CC(C)=CCCC1(C)C2CC3C([C@@H]2O)C31C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
Santalene,5,CC(C)=CCCC1(C)C2CC3C(C2)C31C.O=O>>CC(C)=CC[C@H](O)C1(C)C2CC3C(C2)C31C.O,H(+) + NADPH>>NADP(+),"['YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C', 'YBL098W', 'YNR053C', 'YCL059C', 'YHR176W', 'YOL114C', 'YLL057C', 'YBR298C', 'YDR534C', 'YLR281C', 'YDR402C']"
