smile,score,sim_smile,inchikey0
N=C(N)NCCCC(=O)O,1,,TUHVEAJXIMEOSA
O=CC=CCl,1,,ZSOPPQGHWJVKJB
Nc1nc(NCC([O-])C([O-])C([O-])COP(=O)([O-])[O-])c(N)c(=O)[nH]1,1,,YZXAOFZAYKDDIC
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1,1,,ACFIXJIJDZMPPO
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,1,,HSCJRCZFDFQWRP
CO,1,,OKKJLVBELUTLKV
Nc1ncnc2nc[nH]c12,1,,GFFGJBXGBJISGV
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCC=CCCCCCC,1,,PTXHSMHIXHLNCR
CC(C)C(N)C(=O)O,1,,KZSNJWFQEVHDMF
O=C(CO)C(O)C(O)CO,1,,ZAQJHHRNXZUBTE
Cc1ccccc1O,1,,QWVGKYWNOKOFNN
Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,1,,NHVNXKFIZYSCEB
CCCCC=CC=O,1,,NDFKTBCGKNOHPJ
CCOP(=O)(O)O,1,,ZJXZSIYSNXKHEA
N=C(CNC=O)NC1OC(COP(=O)(O)O)C(O)C1O,1,,PMCOGCVKOAOZQM
NC(=NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O,1,,KDZOASGQNOPSCU
O=P(O)(O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,1,,WQQSIXKPRAUZJL
O=O,1,,MYMOFIZGZYHOMD
C=C(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C,1,,BTCAEOLDEYPGGE
N=c1[nH]c2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,1,,MSTNYGQPCMXVAQ
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,1,,MUPFEKGTMRGPLJ
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O,1,,LYCRXMTYUZDUGA
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,1,,INAPMGSXUVUWAF
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(N)C(=O)O,1,,JZWNYZVVZXZRRH
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,DZNALTJEOIIEJL
Cc1ncc(CO)c(CO)c1O,1,,LXNHXLLTXMVWPM
[NH4+],1,,QGZKDVFQNNGYKY
CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,1,,SJUUDDANVVUTJD
O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,1,,DCTLYFZHFGENCW
CCCCCC=CCC=CC=CC=CC(O)C(O)CCCC(=O)O,1,,UVZBUUTTYHTDRR
CCCC(O)CC(=O)O,1,,HPMGFDVTYHWBAG
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O,1,,GACDQMDRPRGCTN
Cc1cc2c3c(c1C)C(C)(C)CCN3c1c([nH]c(=O)[nH]c1=O)N2CC(O)C(O)C(O)COP(=O)(O)O,1,,GLNFBGKHGHVPRL
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC21C,1,,MKZPNGBJJJZJMI
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,FYEGCRWKXQFQDE
NC(C=O)C(=O)O,1,,XMTCKNXTTXDPJX
Nc1ccnc(=O)[nH]1,1,,OPTASPLRGRRNAP
CCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,RKCOGGUHKPTOQJ
O=C([O-])C(CO)OC1OC(COP(=O)([O-])[O-])C(O)C(O)C1O,1,,BOLXAGHGKNGVBE
Cc1nc(C(=O)O)sc1CCOP(=O)(O)O,1,,XWECMAHAKFWYNV
CCC(O)CO,1,,BMRWNKZVCUKKSR
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,LPBHDSRWBZTUCO
O=C(O)C1CCCN1,1,,ONIBWKKTOPOVIA
C[n+]1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2nc(N)[nH]c(=O)c21,1,,AOKQNZVJJXPUQA
CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCCN(C)C,1,,ZIKVJOBTDRKXOU
CCCCCCCC(C)=O,1,,VKCYHJWLYTUGCC
CC(=O)C(C)O,1,,ROWKJAVDOGWPAT
O=C(O)C(O)C(O)C(=O)O,1,,FEWJPZIEWOKRBE
CSC,1,,QMMFVYPAHWMCMS
O=P(O)(O)OCC1OC(O)CC(O)C1O,1,,UQJFZAAGZAYVKZ
O=C(COP(=O)(O)O)C(O)C(O)C(O)COP(=O)(O)O,1,,XPYBSIWDXQFNMH
CCCCCC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,OEXFMSFODMQEPE
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,1,,SNKAWJBJQDLSFF
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(O)C(=O)NCCC(=O)NCCS,1,,KDTSHFARGAKYJN
NC(=O)CCCCC(S)CCS,1,,VLYUGYAKYZETRF
O=C(O)c1cccnc1C(=O)O,1,,GJAWHXHKYYXBSV
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,1,,GRSZFWQUAKGDAV
CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC,1,,HSQHRRHRYJNSOC
NC(=O)CCC(=O)C(=O)O,1,,COJBGNAUUSNXHX
CC=Cc1ccc(O)c(OC)c1,1,,BJIOGJUNALELMI
O=C([O-])Cc1c[nH]c2ccccc12,1,,SEOVTRFCIGRIMH
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)O,1,,WRGQSWVCFNIUNZ
S=S=S,1,,NVSDADJBGGUCLP
CCCCCCCC=O,1,,NUJGJRNETVAIRJ
O=C(O)c1ccc(O)c(O)c1,1,,YQUVCSBJEUQKSH
O[C@@H]1[C@@H](O)C(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C(O)=C2)O[C@@H]([C@H]1O)C(O)=O,1,,DUBCCGAQYVUYEU
N#C[S-],1,,ZMZDMBWJUHKJPS
CC(=O)C(O)COP(=O)(O)O,1,,OKYHYXLCTGGOLM
C[S+](CCC(=O)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,1,,UOKVQQMBGVMXPU
CCCCCCCCCC(=O)CC(=O)O,1,,DZHSPYMHDVROSM
CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,1,,CAHGCLMLTWQZNJ
NC(CC(=O)OP(=O)(O)O)C(=O)O,1,,IXZNKTPIYKDIGG
CC(=O)NC(CC(C)C)C(=O)O,1,,WXNXCEHXYPACJF
N#CN,1,,XZMCDFZZKTWFGF
COC(=O)C=Cc1ccccc1,1,,CCRCUPLGCSFEDV
CCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],1,,GBMJOTOUUWGTIA
CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,WPIVBCGRGVNDDT
O=C(COP(=O)(O)O)C(O)C(O)C(O)C(O)COP(=O)(O)O,1,,OKHXOUGRECCASI
CCOC(=O)CCC(=O)O,1,,LOLKAJARZKDJTD
O=P(O)(O)OCC1OC(O)(CO)C(O)C1O,1,,BGWGXPAPYGQALX
COC1=CC(=CC(OC)=C1O)C1=C(O[C@@H]2O[C@H](COC(=O)\C=C\C3=CC=C(O)C(O)=C3)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,1,,LIEHUFTYLLDHTI
Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O,1,,XFVULMDJZXYMSG
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,1,,XHPZRQBHFOVLEJ
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,FHLYYFPJDVYWQH
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCCCC,1,,VTBAFZABWIDTAD
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCCC=CCCCCCC,1,,YLDMPBGXNLGSQO
S.S.S.S.[Fe+].[Fe+].[Fe+].[Fe+].[SH-].[SH-].[SH-].[SH-],1,,WBBXSFIKFJDGSG
O=C(O)Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O,1,,JHLXDWGVSYMXPL
CCCCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,GGUUXBBWTGIIGE
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,MGBGPALEMGXDDD
CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,1,,XYCNASUKVOVNSX
O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O,1,,MMWCIQZXVOZEGG
Clc1ccccc1,1,,MVPPADPHJFYWMZ
OCC(O)C(O)C(O)C(O)CO,1,,FBPFZTCFMRRESA
NC(=O)NCCCC(N)C(=O)O,1,,RHGKLRLOHDJJDR
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC3OP(=O)(O)OC3C2O)C(O)C1O,1,,NPSPRYXPOGPCPM
C=CC(=O)CCCCC,1,,KLTVSWGXIAYTHO
O=c1[nH]cnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,1,,DMJWGQPYNRPLGA
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,JFISYPWOVQNHLS
NC1C(OP(=O)(O)O)OC(CO)C(O)C1O,1,,YMJBYRVFGYXULK
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,LHDJLJVPPKFYRS
CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,VTHRXRSANAFQLF
CCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC([NH3+])C(=O)[O-],1,,ZPDQFUYPBVXUKS
O=CC(O)C(O)C(O)COP(=O)([O-])[O-],1,,PPQRONHOSHZGFQ
NC(CCC(=O)O)C(=O)O,1,,WHUUTDBJXJRKMK
C=C(C)C1CC=C(C=O)CC1,1,,RUMOYJJNUMEFDD
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,OINNEUNVOZHBOX
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,XKZPKAWPUPSUJF
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC,1,,RPKINSVKMYLLAO
CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,1,,PDLAMJKMOKWLAJ
CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,1,,QZZGJDVWLFXDLK
CC(=O)NC1C(O)OC(CO)C(O)C1O,1,,OVRNDRQMDRJTHS
CC(C)c1ccc(CO)cc1,1,,OIGWAXDAPKFNCQ
CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,QIBKBVRVOFIKLN
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(COP(=O)(O)OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,KMTRPPDJIYGURJ
CC(=O)OCCC(N)C(=O)O,1,,FCXZBWSIAGGPCB
Nc1c(O)cccc1C(=O)CC(N)C(=O)O,1,,VCKPUUFAIGNJHC
O=C(O)c1cc(=O)c2ccccc2[nH]1,1,,HCZHHEIFKROPDY
CC(NC(=O)CCC(N)C(=O)O)C(=O)O,1,,WQXXXVRAFAKQJM
NC(=O)c1ncn(C2OC(COP(=O)(O)O)C(O)C2O)c1NC=NCC(=O)C(O)C(O)COP(=O)(O)O,1,,BLKFNHOCHNCLII
OCCc1ccccc1O,1,,ABFCOJLLBHXNOU
N=c1c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2ncn1C1OC(COP(=O)(O)O)C(O)C1O,1,,RTQMRTSPTLIIHM
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)N2,1,,MSTNYGQPCMXVAQ
NC(C[SeH])C(=O)O,1,,ZKZBPNGNEQAJSX
CC(=O)[O-],1,,QTBSBXVTEAMEQO
CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,1,,YSNGWXHIKNKBNE
NC(CNC=O)=NC1OC(COP(=O)(O)O)C(O)C1O,1,,PMCOGCVKOAOZQM
C=C(CCC(C)C1CCC2C3=CCC4CC(OC(=O)CCCCCCCC=CCCCCCCCC)CCC4(C)C3CCC21C)C(C)C,1,,WXTXUXMQBSJEQW
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,1,,OIRDTQYFTABQOQ
O=C([O-])CCC(=O)[O-],1,,KDYFGRWQOYBRFD
O=c1cc(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)[nH]c(=O)[nH]1,1,,USAZACJQJDHAJH
CCCCCCCCCCCCCCCCCC=CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],1,,ROOFWBIMBMJYGA
NC(CCC=O)C(=O)O,1,,KABXUUFDPUOJMW
COc1ccccc1,1,,RDOXTESZEPMUJZ
CCCCCCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCC,1,,WEYCUJKFHUWUDC
CC(=O)C(=O)O,1,,LCTONWCANYUPML
CCOC(=O)C(N)CCSC,1,,ARJXIGOIOGJAKR
O=C(O)Cc1ccccc1,1,,WLJVXDMOQOGPHL
CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN(C)C,1,,XYBGQZFCCDRWSR
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,LPXFOQGBESUDAX
Nc1nc(NC2OC(COP(=O)(O)O)C(O)C2O)c(N)c(=O)[nH]1,1,,OCLCLRXKNJCOJD
O=P([O-])([O-])OC1C(OP(=O)([O-])[O-])C(OP(=O)([O-])[O-])C(OP(=O)([O-])OP(=O)([O-])O)C(OP(=O)([O-])[O-])C1OP(=O)([O-])[O-],1,,UPHPWXPNZIOZJL
CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O,1,,VNYSSYRCGWBHLG
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,RLNUSHBADPLXEA
CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,CNKJPHSEFDPYDB
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C(O)C1O,1,,YOAHKNVSNCMZGQ
CCCCCCCCCC(C)=O,1,,KYWIYKKSMDLRDC
O=C(COP(=O)(O)O)Cc1cnc[nH]1,1,,YCFFMSOLUMRAMD
C=C(C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C)C(C)C,1,,SQFQJKZSFOZDJY
[H][H],1,,UFHFLCQGNIYNRP
CC(=O)C(O)C(O)COP(=O)(O)O,1,,AJPADPZSRRUGHI
CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCC,1,,IIEPDWHEGOSXLD
NCCOP(=O)(O)OCC(O)CO,1,,JZNWSCPGTDBMEW
CCOC(=O)C(C)CC,1,,HCRBXQFHJMCTLF
O=Cc1ccc2c(c1)OCO2,1,,SATCULPHIDQDRE
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(=O)C(C)C1CC3,1,,DBPZYKHQDWKORQ
COC(=O)c1ccccc1O,1,,OSWPMRLSEDHDFF
CC(N)C(=O)CCCCCC(=O)[O-],1,,GUAHPAJOXVYFON
Nc1c(NCC([O-])C([O-])C([O-])COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O,1,,XFQQOMMQTVPCOB
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,ATMVAFVGQSPYTQ
CCOC(=O)C(C)=O,1,,XXRCUYVCPSWGCC
Nc1ccccc1C(=O)CC(=O)C(=O)O,1,,CAOVWYZQMPNAFJ
CC(O)C(=O)O,1,,JVTAAEKCZFNVCJ
O=C(O)CC(C(=O)O)C(=O)C(=O)O,1,,UFSCUAXLTRFIDC
CC(C)CO,1,,ZXEKIIBDNHEJCQ
Nc1ccn(C2OC3COP(=O)(O)OC3C2O)c(=O)n1,1,,WCPTXJJVVDAEMW
NCCc1c[nH]cn1,1,,NTYJJOPFIAHURM
O=P(O)(O)OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1,,LABSPYBHMPDTEL
NC(CP(=O)(O)O)C(=O)O,1,,LBTABPSJONFLPO
CN(CC(=O)O)C(N)=NP(=O)(O)O,1,,DRBBFCLWYRJSJZ
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,RYNHWWNZNIGDAQ
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(=O)CCCCCCCC=CCCCCCCCC,1,,ISTSBKDAWNZURU
O=P([O-])([O-])OCC(O)C(O)c1c[nH]c2ccccc12,1,,NQEQTYPJSIEPHW
CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN(C)C,1,,JPXWWRACEORTKX
Nc1ccccc1C(=O)CC(N)C(=O)O,1,,YGPSJZOEDVAXAB
CCOC(=O)CC(C)O,1,,OMSUIQOIVADKIM
CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OP(=O)(O)O,1,,KGPOTEGAEDLRDC
CCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,SKGWNZXOCSYJQL
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,LOYSZTGYSJRLNF
OO,1,,MHAJPDPJQMAIIY
CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,ZHACYEFKMPSHNH
O=C([O-])C=C(CCC(=O)[O-])C(=O)[O-],1,,BJYPZFUWWJSAKC
CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(COP(=O)(O)OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O)C(O)CCCCCCCCCCCCCCC,1,,YIOXLZJXYRDBIN
O=C(O)C1=CC(OP(=O)(O)O)C(O)C(O)C1,1,,QYOJSKGCWNAKGW
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC(=O)CCCCC2SCC3NC(=O)NC32)C(O)C1O,1,,UTQCSTJVMLODHM
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,FTOCVSHCIDVFSX
O=CNC(Cc1ccc(O)cc1)C(=O)O,1,,ROUWPHMRHBMAFE
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)cc1)CN2,1,,ZAOGJXDWOQXFBW
CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,1,,SQYNOJCBJMSMAA
Nc1c(C(=O)NC(CC(=O)O)C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O,1,,NAQGHJTUZRHGAC
CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,1,,OIWCYIUQAVBPGV
C=CC1=C(C)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C.[Fe],1,,RNQMHXMGXVQRMV
OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,1,,BYSGBSNPRWKUQH
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,OQQAELSMMXVYDI
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,1,,IIUYFDFFENUNHL
CCCCCCCCCCCCCCCC=O,1,,NIOYUNMRJMEDGI
O=P(O)(O)OCC1OC(O)C(O)C1O,1,,KTVPXOYAKDPRHY
O[C@@H]1[C@@H](O)[C@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C(O)=C2)O[C@@H]([C@H]1O)C(O)=O,1,,MBWOCQLTCWTIJE
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,1,,MXHRCPNRJAMMIM
NC(COP(=O)(O)O)C(=O)O,1,,BZQFBWGGLXLEPQ
NCC=O,1,,LYIIBVSRGJSHAV
Nc1ncnc2c1ncn2C1OC(CO)C2OP(=O)(O)OC21,1,,KMYWVDDIPVNLME
NC(CS(=O)O)C(=O)O,1,,ADVPTQAUNPRNPO
O=C(O)C(O)COP(=O)(O)O,1,,OSJPPGNTCRNQQC
O=C(O)C1CCCCN1,1,,HXEACLLIILLPRG
O=C(O)C=CC(=O)O,1,,VZCYOOQTPOCHFL
Nc1nc2nc[nH]c2c(=O)[nH]1,1,,UYTPUPDQBNUYGX
CCCCCCCCCCCCCCCCCCCCCCCC=CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],1,,GGUUXBBWTGIIGE
O=C1CC(O)(C(=O)[O-])CC(O)C1O,1,,WVMWZWGZRAXUBK
