smile,score,sim_smile,inchikey0
CCCCCCCCCC(=O)O,1,,GHVNFZFCNZKVNT
CC(=O)C(=O)[O-],1,,LCTONWCANYUPML
Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2,1,,FCQGJGLSOWZZON
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,1,,DNVPQKQSNYMLRS
NC(CC[SeH])C(=O)O,1,,RCWCGLALNCIQNM
O=C(O)C(=O)Cc1ccccc1,1,,BTNMPGBKDVTSJY
CCCCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,PMXMKGYRVPAIJJ
C=CC(=O)O,1,,NIXOWILDQLNWCW
C=C(N)C(=O)O,1,,UQBOJOOOTLPNST
O=CCC(O)C(O)C(O)CO,1,,VRYALKFFQXWPIH
CC1(CC(=O)O)C2=Cc3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)C=C3NC(=CC(=N2)C1CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O,1,,OQIIYZQTTMKFAU
CCCCCCCOC(C)=O,1,,ZCZSIDMEHXZRLG
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1,1,,PCDQPRRSZKQHHS
C=CC(N)=O,1,,HRPVXLWXLXDGHG
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,1,,YYGNTYWPHWGJRM
[Cl-].COC1=CC(=CC(O)=C1O)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O)=CC(O)=CC2=[O+]1,1,,HBKZHMZCXXQMOX
O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,1,,XOHUEYCVLUUEJJ
Nc1c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)(O)O)C(O)C1O,1,,KYTPWZMUSLPBJZ
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,1,,SUYVUBYJARFZHO
CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,1,,CAHKINHBCWCHCF
CCCCCCCCCCCCCCCCCCCCCCC(O)C(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(COP(=O)(O)OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,JNTPDJPEDWWEHF
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCCCC,1,,TYHZPJKGQTVUEB
O=CCc1ccc(O)cc1,1,,IPRPPFIAVHPVJH
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)CO,1,,RZRNAYUHWVFMIP
N=c1c2ncn(C3OC(COP(=O)([O-])[O-])C(O)C3O)c2ncn1C1OC(COP(=O)([O-])[O-])C(O)C1O,1,,RTQMRTSPTLIIHM
CCCC(=O)[O-],1,,FERIUCNNQQJTOY
COc1cc(C(C)=O)ccc1O,1,,DFYRUELUNQRZTB
CCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(N)C(=O)O,1,,XIVOBOJQPNEUSC
O=C([O-])C(=O)C(C(=O)[O-])C(O)C(=O)[O-],1,,YILAUJBAPQXZGM
CC1(CC(=O)O)c2cc3[n-]c(cc4nc(cc5[n-]c(cc(n2)C1CCC(=O)O)C(C)(CC(=O)O)C5CCC(=O)O)C(CC(=O)O)=C4CCC(=O)O)c(CCC(=O)O)c3CC(=O)O.[Fe+2],1,,DLKSSIHHLYNIKN
O=S(=O)([O-])[O-],1,,QAOWNCQODCNURD
O=C([O-])C(=O)Cc1ccccc1,1,,BTNMPGBKDVTSJY
Cc1ncc(COP(=O)(O)O)c(CO)c1O,1,,WHOMFKWHIQZTHY
C[N+](C)(C)CCCC=O,1,,OITBLCDWXSXNCN
[NH3+]C(COP(=O)([O-])[O-])C(=O)[O-],1,,BZQFBWGGLXLEPQ
[K+],1,,NPYPAHLBTDXSSS
CCCCCCCCCCCCCCC(O)C=O,1,,BKBDVQVDRVGXKT
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,TUNIPIPDJADHSR
O=c1[nH]cnc2nc[nH]c12,1,,FDGQSTZJBFJUBT
CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,XDUHQPOXLUAVEE
O=C(O)C1CC(O)C=N1,1,,WFOFKRKDDKGRIK
OCCc1ccc(O)cc1,1,,YCCILVSKPBXVIP
CC(=O)C(N)C(=O)O,1,,SAUCHDKDCUROAO
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,CUZALTUNVRIJQK
Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1,1,,KHWCHTKSEGGWEX
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,WWLGNMUDXXNXHH
Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1C,1,,SXDXRJZUAJBNFL
CC(=O)NC(Cc1ccccc1)C(=O)O,1,,CBQJSKKFNMDLON
CCCCCCCCC=CCCCCCCCC(=O)O,1,,ZQPPMHVWECSIRJ
CCC(C)COC(C)=O,1,,XHIUFYZDQBSEMF
O=P(O)(O)OP(=O)(O)OP(=O)(O)O,1,,UNXRWKVEANCORM
NC(CCC(=O)NC(CS)C(=O)O)C(=O)O,1,,RITKHVBHSGLULN
CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC,1,,AOPKSFQJPHZVHJ
CSCCCO,1,,CZUGFKJYCPYHHV
Nc1nc(O)c2c(n1)NCC(CO)=N2,1,,CQQNNQTXUGLUEV
C[Se](=O)O,1,,UEQANLFPOFICBH
O=CCCC(=O)O,1,,UIUJIQZEACWQSV
CCCCCCCC(=O)CC(=O)O,1,,YXTHWTPUTHTODU
[Na+],1,,FKNQFGJONOIPTF
O=c1[nH]c(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,1,,UBORTCNDUKBEOP
Cc1cn(C2CC(OP(=O)(O)O)C(CO)O2)c(=O)[nH]c1=O,1,,XXYIANZGUOSQHY
CCCOC(C)=O,1,,YKYONYBAUNKHLG
Nc1ncnc2c1ncn2C1CC2OP(=O)(O)OCC2O1,1,,MKMZAENVDZADSW
[F-],1,,KRHYYFGTRYWZRS
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])OC(=O)CCCCCCCC=CCCCCCCCC,1,,HDXXGJAGUJYVES
N=C(N)NCCCC(N)=O,1,,YHVFECVVGNXFKO
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,1,,QCBWNBZTXPRAAF
NC(=O)NC(O)C(=O)O,1,,NWZYYCVIOKVTII
CC(=O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,1,,UBPVOHPZRZIJHM
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,PNDRFGXMGIEIEY
O=c1cc[nH]c(=O)[nH]1,1,,ISAKRJDGNUQOIC
CC(O)CO,1,,DNIAPMSPPWPWGF
CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,1,,PAZGBAOHGQRCBP
